state,county,tract,intptlat,intptlon,alandsqkm,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21
39,21,10200,40.1538168,-83.9647388,254.963983,259863.9161,7254,2872,0.192996967,11.04345419,6.717850288,97.14640199,83.04564634,16.95435366,4.805013928,9.227019499,0.540079591,4.462762933,0,92.52416146,60163,107100,785,6.2,10.70712136,69.14008322,6562,3102,8.268259072,0.990551661,7.915157786,94.71197806,79.93539124,20.06460876,5.641521599,10.18697614,0,1.073232323,0,92.48737374,66081,141400,718,5.9,7.637906648,64.70803588
39,21,10500,40.1120628,-83.7258245,6.975638,206251.1449,3952,2030,1.037449393,22.93529721,17.37413623,85.50101215,52.67349261,47.32650739,32.06896552,13.39901478,0,3.254972875,0.66305003,94.69559976,34292,110300,674,5.4,12.0906801,61.4360879,3781,1923,16.10775151,0.476064533,10.11969532,88.17773076,58.2341891,41.7658109,33.17732709,16.95267811,0,3.044227455,0.516944285,92.13095922,54940,132100,701,5.6,8.661825726,63.73553719
39,21,10400,40.1384087,-83.7873523,37.385506,215657.263,4028,1852,0.794438928,22.8897716,15.01532176,94.28997021,53.51681957,46.48318043,25.2699784,11.71706263,0.327439424,0.523903078,0,98.23182711,38728,78200,642,5.1,12.59754738,56.98856417,3505,1792,19.35853379,0.513552068,16.5792235,92.23965763,55.82377791,44.17622209,15.73660714,7.533482143,0.061614295,5.298829328,0,93.90018484,50328,94200,789,5.9,8.296460177,63.12849162
39,45,30300,39.8439569,-82.6189792,18.366304,104061.3434,3323,1259,0.240746314,19.35483871,17.11491443,98.82636172,53.6039768,46.3960232,19.14217633,4.130262113,0,2.818991098,0,92.8041543,46780,138900,876,5.8,12.41997439,65.46521375,3386,1479,20.29429798,1.122268163,16.87763713,92.55759008,59.20763023,40.79236977,23.12373225,7.843137255,0,3.500343171,0,84.351407,50815,158300,688,5.7,6.818181818,63.58892011
39,45,30200,39.8552584,-82.5336459,93.748454,117355.0525,3118,1143,0.35279025,10.27642276,7.572115385,98.23604875,76.89429373,23.10570627,5.161854768,6.474190726,2.336448598,0.667556742,0,91.58878505,58977,153800,746,6.3,5.96107056,66.63964329,2897,1259,10.88011088,0.759406282,4.161073826,94.13186055,84.56140351,15.43859649,3.89197776,9.451945989,0.39556962,0.791139241,0,88.21202532,58750,254400,965,6.7,4.264392324,58.84567127
39,45,31000,39.7700889,-82.535558,86.14537,125732.954,5684,2350,0.527797326,8.352422907,5.59114735,98.31104856,88.34552102,11.65447898,4.723404255,6.893617021,0.077399381,0.154798762,0,95.51083591,72308,169300,692,6.7,3.262463343,59.35596171,5383,2271,6.297603567,1.411852127,2.835921675,95.67155861,87.60484623,12.39515377,3.830911493,5.504183179,0,0.55357849,0,85.17200474,100500,211500,994,7,6.482465462,61.74540682
39,45,31100,39.7348455,-82.4304235,160.341803,154551.37,6128,2293,0.68537859,15.03883656,11.57323689,97.48694517,79.50700822,20.49299178,3.139991278,9.768861753,0.186985789,1.72026926,0,92.22139117,54640,121300,865,6.4,7.329487615,62.26494824,6589,2611,12.22855383,0.789194111,5.733824303,95.0675368,87.71289538,12.28710462,6.54921486,5.553427805,0,0.031918289,0.414937759,94.28662624,71159,195000,776,6.6,4.561611374,64.8856429
39,45,32300,39.6974797,-82.6062428,6.863319,141447.2783,4110,1720,0.389294404,15.56886228,10.01945525,97.66423358,60.79651525,39.20348475,15.58139535,6.569767442,0,0.64690027,0,98.05929919,37905,93400,728,5.3,9.335288368,61.962447,4005,1861,18.64968153,0.474406991,17.11538462,94.05742821,64.92785794,35.07214206,12.19774315,3.170338528,0.309757357,1.60041301,0,93.44346928,46591,122500,828,5.7,4.447702835,58.27399601
39,45,30700,39.800034,-82.7937967,26.159957,71030.07192,3393,1266,4.24403183,2.740937224,1.527494908,88.85941645,87.9637263,12.0362737,5.055292259,4.186413902,0.31075202,1.429459291,0,95.15226849,80450,184800,717,6.9,7.836456559,66.20300752,4364,1502,1.970669111,1.718606783,1.333333333,92.80476627,87.83602151,12.16397849,5.459387483,0.932090546,0.858585859,1.464646465,0,90.80808081,96034,248900,1273,6.9,2.741067058,60.51540284
39,131,952500,39.1440319,-83.0081028,38.646154,285181.6489,3745,1794,0.160213618,22.24912564,16.04696673,99.70627503,58.43568197,41.56431803,13.60089186,13.76811594,0.418410042,0,0,94.90934449,42434,108200,664,5.3,9.431605247,54.99828238,3530,1543,10.87141641,0.45325779,13.13240043,96.48725212,72.38169123,27.61830877,4.925469864,16.46143876,0.922874094,2.1094265,0,93.73764008,60136,123300,837,5.7,3.128911139,59.76065819
39,49,7426,40.0202468,-82.8725971,2.731533,37999.52031,3014,1263,2.455209025,10.0438153,5.193236715,91.47312541,64.82701812,35.17298188,21.37767221,3.879651623,0.733675715,2.567865004,0.586940572,86.20689655,53163,162800,787,6.5,4.715127701,64.18663304,3814,1679,4.850550603,5.191400105,4.98046875,90.6397483,67.77429467,32.22570533,24.59797499,5.002977963,2.002730997,2.275830678,0.455166136,83.97815203,90149,211400,1303,6,0.439947206,72.68947873
39,61,21602,39.2433339,-84.5357212,3.135838,44678.11643,3178,1244,4.059156702,28.28823159,27.01080432,17.27501573,62.92335116,37.07664884,1.768488746,9.807073955,0.414507772,0,0,98.65284974,31875,88400,1008,5.7,25.70556827,56.24195624,3443,1451,15.24832994,2.555910543,8.788598575,14.49317456,64.38356164,35.61643836,7.098552722,4.410751206,0,0,0,90.20652898,45766,99900,1278,6.5,3.995006242,64.36319807
39,61,21603,39.2512321,-84.559829,4.1639,52156.83945,3418,1473,4.183733177,15.48841302,11.22554068,48.80046811,76.06060606,23.93939394,2.579769179,10.38696538,0,0,0,99.38763013,54386,119300,1030,6.4,8.808864266,67.42622338,3488,1440,14.70756881,4.816513761,11.13610799,48.59518349,83.08823529,16.91176471,0,5.555555556,0,0,0,88.48108413,63750,130000,1372,6.2,2.885138813,66.53386454
39,61,21604,39.2322327,-84.5670502,2.922874,45532.00092,3520,1427,0.170454545,23.50043466,20.33368092,31.5625,73.99691358,26.00308642,9.180098108,9.180098108,0.077639752,0,0,96.27329193,39921,87700,996,6.1,15.52680222,60.51454139,3942,1576,23.28767123,1.674277017,21.92816635,35.59107052,67.11229947,32.88770053,3.870558376,5.076142132,1.822600243,0,0,90.09720535,51466,96900,1006,5.9,4.366812227,60.68234515
39,61,21701,39.2353582,-84.5540923,2.106795,46185.6564,2963,1564,5.737428282,16.82960894,8.294209703,58.08302396,41.39821796,58.60178204,45.71611253,6.713554987,3.846153846,1.627218935,0,94.08284024,36027,92800,699,4.6,4.857737682,62.11206897,2602,1407,11.83689628,1.92159877,6.282722513,61.64488855,51.17252931,48.82747069,38.94811656,15.13859275,2.591973244,3.678929766,1.588628763,92.14046823,50000,106300,1053,5.9,6.324404762,59.41644562
