state,county,tract,intptlat,intptlon,alandsqkm,dist_to_rail,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21,density_population15,density_population21,density_unitstot15,density_unitstot21,change_population,change_unit,change_medhhinc,change_medhhval,change_medgrossrent,tracts_shrank_population,tracts_grew_population,added_100_units,lost_100_units
34,31,256804,41.0787934,-74.3779531,29.792621,44701.06527,151648.0174,6887,2506,4.602874982,2.741553053,2.632937532,94.85988094,96.17918314,3.820816864,0.558659218,9.138068635,3.048287025,0.0,0.0,91.39465875,120394,343800,2024,7.3,4.611895161,70.63011748,5562,2338,3.2097399,6.706220784,3.663239075,92.77238403,93.00827967,6.991720331,1.924721985,7.014542344,1.280175567,0.0,0.0,83.76005852,124297,338600,1470,6.6,8.013029316,64.40109083,231.16462294472177,186.6905231332282,84.1147880208324,78.4758078183185,-1325,-168,3903,-5200,-554,1,0,0,1
34,31,246300,40.910421,-74.2642143,10.100083,0.0,85997.74215,4677,1921,20.3763096,10.71199487,7.708333333,88.90314304,59.33250927,40.66749073,27.12129099,15.77303488,7.475813544,4.001759015,0.439753738,86.05980651,71724,296500,1573,5.2,10.29468044,71.00543478,4793,2062,8.575005216,21.82349259,6.0,75.27644482,49.24596984,50.75403016,37.19689622,6.741028128,6.113360324,0.769230769,0.0,82.71255061,105625,369900,2159,4.8,7.158753709,68.27044821,463.0655015409279,474.5505556736514,190.19645680139462,204.1567381178947,116,141,33901,73400,586,0,1,1,0
34,31,181200,40.9242986,-74.1499553,0.401624,4344.451837,81681.71803,4394,1461,38.00637233,31.8843878,31.27147766,21.30177515,16.1525974,83.8474026,91.23887748,15.67419576,13.29479769,6.069364162,0.0,77.34104046,32935,203000,1149,4.5,13.09233024,65.35759898,4801,1576,17.95459279,55.5300979,17.05551086,9.956259113,17.7852349,82.2147651,83.18527919,5.456852792,8.710651143,4.139715395,0.0,82.923674,63643,264800,1331,4.6,9.744779582,71.35761589,10940.581240164931,11953.9668944087,3637.730812899628,3924.068282771946,407,115,30708,61800,182,0,1,1,0
34,31,256803,41.1221009,-74.3805752,14.231776,54854.98013,168224.1911,4986,2247,6.638588047,1.784997994,1.213592233,97.55314882,79.95981919,20.04018081,40.14241211,11.3929684,5.322371268,3.331890956,0.0,84.50887062,76622,228300,1250,5.8,6.758893281,61.05212355,4897,2375,4.62281992,21.40085767,3.431372549,86.29773331,85.67530696,14.32469304,37.05263158,7.410526316,1.751388296,3.203759077,0.0,80.47842802,70938,240900,1438,5.1,4.799370574,60.29411765,350.3427822360329,344.08917059964966,157.886127493856,166.88008580236226,-89,128,-5684,12600,188,1,0,1,0
34,31,246003,40.9770103,-74.2610348,6.580967,17293.62452,108177.438,5582,1889,23.3070584,3.270509978,3.129074316,84.21712648,94.61410328,5.385896724,5.452620434,4.658549497,9.791445741,0.0,0.0,86.77978084,108203,396000,2786,6.8,4.396325459,66.46314871,6441,2289,2.084991246,25.5395125,0.964265457,76.74274181,86.70041417,13.29958583,2.664919179,5.067715159,5.394415831,0.054215234,0.0,74.65437788,167768,437600,3501,7.3,6.365914787,76.90824981,848.203615061434,978.7315450753665,287.03988334845013,347.8212244492337,859,400,59565,41600,715,0,1,1,0
34,31,182400,40.9118476,-74.1493682,0.644625,3361.061939,76720.7911,4794,1571,42.24030038,19.2839196,16.87612208,29.682937,31.77777778,68.22222222,83.89560789,14.06747295,11.50527325,1.62991371,0.33557047,83.89261745,45484,268400,1315,4.9,5.16389762,62.25887615,5017,1666,26.27067969,52.32210484,25.51781276,19.1349412,18.33865815,81.66134185,78.51140456,6.06242497,11.26760563,2.907769196,0.0,83.18945934,57108,315100,1450,4.7,8.874281019,61.21730382,7436.881908086097,7782.819468683343,2437.075819274772,2584.4483226682178,223,95,11624,46700,135,0,1,0,0
34,31,181702,40.9159772,-74.1642955,0.219351,285.8624772,81579.92451,3090,1076,30.3236246,40.13852243,34.16149068,34.43365696,4.223744292,95.77625571,95.53903346,18.58736059,18.63414634,11.80487805,0.0,62.34146341,22697,237500,993,3.8,10.76003416,51.81415929,3409,1464,40.01173365,38.69169845,28.1779661,8.976239366,10.98570354,89.01429646,90.30054645,9.221311475,10.32295271,8.30449827,0.0,73.99077278,33894,309500,1184,4.2,3.754831585,68.28808446,14087.011228578855,15541.301384538936,4905.3799617963905,6674.234446161631,319,388,11197,72000,191,0,1,1,0
34,31,256805,41.0968573,-74.4256687,87.589154,32585.73273,144669.6884,5321,1910,6.878406315,5.333837715,3.52393617,96.12854727,87.9640045,12.0359955,6.492146597,6.910994764,1.997694967,0.576258164,0.307337687,89.39684979,101192,337600,1005,7.4,7.729805014,69.37198068,5231,2040,3.048312883,7.704071879,1.172413793,93.44293634,92.03310916,7.966890843,5.931372549,5.245098039,1.617052554,3.785373025,0.0,87.32083793,112995,364400,1288,7.1,1.107934239,67.1950048,60.74953070102721,59.7220062200852,21.806352873324933,23.290554901352287,-90,130,11803,26800,283,1,0,1,0
34,31,124900,40.8727123,-74.1388561,0.730194,2133.400378,64127.18086,5359,1553,43.77682403,10.26701768,8.673894912,61.65329352,44.63431306,55.36568694,70.25112685,5.795235029,11.50684932,3.639921722,0.0,81.05675147,56528,273700,1308,4.9,8.755760369,69.77491961,4660,1702,14.69957082,39.44206009,14.56953642,52.40343348,35.76779026,64.23220974,66.39247944,5.875440658,13.48470806,3.75347544,0.0,77.66450417,56798,329400,1505,5.2,1.961658493,60.45822102,7339.145487363632,6381.865641185767,2126.8320473737117,2330.8874080039004,-699,149,270,55700,197,1,0,1,0
34,31,116500,41.0352602,-74.3337367,22.793673,27123.2019,129823.6327,7933,2929,11.87444851,3.121002814,2.592592593,95.56283877,66.78297278,33.21702722,28.9518607,2.150904746,2.66864344,0.321225599,0.0,93.13071411,75781,319200,1387,6.0,11.11111111,69.18951132,7759,2974,9.009009009,15.22103364,3.971486762,81.09292435,66.54005525,33.45994475,26.8661735,2.62273033,2.836208934,0.472701489,0.0,85.08626802,116305,326900,1803,6.0,6.313242411,68.27876239,348.0351762526382,340.40147895426946,128.50057118920677,130.4748032491297,-174,45,40524,7700,416,1,0,0,0
